Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2621	190	2624	109659	13		BITO Lagertechnik		PSV2700x1503    /009			4	55	2710	1060	1690	1
Paletten	2621	191	2624	109658	5		BITO Lagertechnik		PSV2700x1003    /006			8	55	2730	1060	1170	1
Paletten	2621	192	2622	110214	0		BITO Lagertechnik		PSV1950x500     /005			1	50	2000	550	400	1
Paletten	2621	193	2622	110214	0		BITO Lagertechnik		PSV2682x820     /002			1	50	2730	840	1200	1
Paletten	2621	194	2622	110215	0		BITO Lagertechnik		PSV1100x652     /001			5	100	1150	700	400	1
Paletten	2621	195	2622	110216	0		BITO Lagertechnik		PSV1252x902     /001			3	100	1300	950	360	1
Paletten	2621	196	2622	110219	0		BITO Lagertechnik		PSV2682x1120    /002			1	50	2740	1130	380	1
Paletten	2621	197	2625	110218	0		Big Dutchman		PSF83-50-4400   /001			18	112	1620	1225	1340	1
Paletten	2621	198	2626	109447	6		Hellmann Poultry Gmb		PSC45-36-1292   /002			8	66	910	2800	880	1
Paletten	2621	199	2622	110204	0		Big Dutchman		PSC83-06-4541   /001			1	360	1200	1050	1560	1
Paletten	2621	200	2624	110245	0		BITO Lagertechnik		PSV2102x502     /002			1	200	2150	1050		1
Paletten	2621	201	2627	110212	0		VDL Jansen bv		PSVJ015228-022  /005			1	4200	1180	1260	1040	1
Paletten	2622	6	2627	109695	0		Big Dutchman		PSC83-15-4955   /001			3	250	1200	950	1250	1
Paletten	2622	9	2626	109835	0		Big Dutchman		PSC83-15-9079   /001			7	150	1420	1210	1130	1
Paletten	2622	10	2626	109834	0		Big Dutchman		PSC83-15-9079   /001			7	150	1420	1210	1130	1
Paletten	2622	11	2626	109833	0		Big Dutchman		PSC83-15-9079   /001			7	150	1420	1210	1130	1
Paletten	2622	12	2626	109832	0		Big Dutchman		PSC83-15-9079   /001			7	150	1420	1210	1130	1
Paletten	2622	13	2624	109240	34		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2622	14	2624	109240	34		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2622	15	2624	109754	1		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2622	16	2622	109950	0		VDL Jansen bv		PSV1193x564     /002			13	150	1200	1100	1210	1
Paletten	2622	17	0	109955	0		VDL Jansen bv		PSVJ010188-545  /003			25	72	1200	800	1380	1
Paletten	2622	18	0	109971	0		VDL Jansen bv		PSVJ300600-025  /001			13	150	1200	1020	1200	1
Paletten	2622	25	2623	110021	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			8	250	1180	1150	900	1
Paletten	2622	26	2623	110029	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			3	250	1180	1150	900	1
Paletten	2622	27	2625	109612	21		Hellmann Poultry Gmb		PSC45-36-0031   /008			2	360	1200	1200	1460	1
Paletten	2622	28	2624	110051	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			2	400	1200	850	1360	1
Paletten	2622	29	2624	110047	0		VDL Jansen bv		PSVJ015224-446  /004			3	172	1215	1050	1080	1
Paletten	2622	30	2624	110071	0		Hellmann Poultry Gmb		PSC45-36-0768   /003			1	400	1200	850	1360	1
Paletten	2622	36	2623	110133	0		Robotunits GmbH		PSV1966x1450    /002			16	50	1980	1460	400	1
Paletten	2622	37	2623	110133	0		Robotunits GmbH		PSV1966x977     /002			4	50	1980	990	400	1
Paletten	2622	38	2623	110133	0		Robotunits GmbH		PSV1966x719     /002			8	50	1980	730	400	1
Paletten	2622	39	2623	110133	0		Robotunits GmbH		PSV1966x461     /002			2	50	1980	470	400	1
Paletten	2622	40	2625	110125	0		ALPMA Alpenland		PSE2789.035.103 /001			2	150	770	3000	745	1
Paletten	2622	41	2625	110125	0		ALPMA Alpenland		PSE2789.035.104 /001			3	100	1020	3000	750	1
Paletten	2622	42	2624	110101	0		Hellmann Poultry Gmb		PSC45-36-0589   /002			2	360	1200	1100	1470	1
Paletten	2622	43	2624	110101	0		Hellmann Poultry Gmb		PSC45-36-0590   /002			2	360	1200	1100	1470	1
Paletten	2622	44	2624	110045	0		VDL Jansen bv		PSCJ059479      /002			3	1000	790	1180	800	1
Paletten	2622	46	2624	110077	1		VDL Jansen bv		PSCJ015224-026  /002			3	1000	1150	830	1220	1
Paletten	2622	48	2625	110084	0		Hellmann Poultry Gmb		PSC45-36-0993   /002			1	1000	1250	900	1160	1
Paletten	2622	53	2625	110095	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			3	250	1180	1150	900	1
Paletten	2622	54	2625	110038	0		Hellmann Poultry Gmb		PSC45-36-0993   /002			1	1000	1250	900	1160	1
Paletten	2622	59	2626	110072	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			2	250	1180	1150	900	1
Paletten	2622	60	2626	110073	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			2	250	1180	1150	900	1
Paletten	2622	61	2627	110105	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			2	250	1180	1150	900	1
Paletten	2622	62	2628	110107	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			2	250	1180	1150	900	1
Paletten	2622	63	2624	110192	0		BITO Lagertechnik		PSV2800x1503    /002			1	55	2830	1060	1670	1
Paletten	2622	64	2624	110192	0		BITO Lagertechnik		PSV1503x1400    /002			1	55	1430	1060	1670	1
Paletten	2622	65	2624	110192	0		BITO Lagertechnik		PSV1400x1003    /003			3	55	1430	1060	1170	1
Paletten	2622	66	2624	110192	0		BITO Lagertechnik		PSV2800x1003    /002			1	55	2830	1060	1170	1
Paletten	2622	67	2623	110237	0		VDL Jansen bv		PSVJ300600-025  /001			13	150	1200	1020	1200	1
Paletten	2623	1	0	109895	4		Bressers Metaal BV		PSV740x740      /008			36	250	750	750	1650	1
Paletten	2623	2	2624	109974	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			1	100	2415	760	780	1
Paletten	2623	3	2625	109754	5		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2623	4	2625	109754	5		Hellmann Poultry Gmb		PSC45-36-0598   /003			1	360	1200	1200	1460	1
Paletten	2623	5	2624	110051	0		Hellmann Poultry Gmb		PSC45-36-1052   /001			5	250	1250	870		1
Paletten	2623	6	2624	110051	0		Hellmann Poultry Gmb		PSC45-36-1053   /001			3	400	950	1250	1330	1
Paletten	2623	7	2624	110071	0		Hellmann Poultry Gmb		PSC45-36-1050   /001			1	300	1250	1020		1
Paletten	2623	8	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			1	100	2420	1050	790	1
Paletten	2623	9	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-1013   /001			1	250	2450	900		1
Paletten	2623	10	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-1012   /002			4	50	2420	925	780	1
Paletten	2623	11	2625	110115	0		Victorsson Poultry A		PSC270101       /001			1	800	1180	900		1
Paletten	2623	12	2625	110096	0		Hellmann Poultry Gmb		PSC45-36-1012   /002			1	50	2420	925	780	1
Paletten	2623	13	2627	110105	0		Hellmann Poultry Gmb		PSC45-36-1012   /002			2	50	2420	925	780	1
Paletten	2623	14	2628	110107	0		Hellmann Poultry Gmb		PSC45-36-1012   /002			2	50	2420	925	780	1
Paletten	2623	15	2625	110084	0		Hellmann Poultry Gmb		PSC45-36-0796   /004			1	150	1550	740	1100	1
