rubrik_id (englischer Name);rubrikname (deutscher Name);pfad
182;Kuvertiermaschinen;Druckereimaschinen & Druckmaschinen / Kuvertiermaschinen
832;1-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 1-Farben-Offsetdruckmaschinen
1196;10-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 10-Farben-Offsetdruckmaschinen
1441;11-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 11-Farben-Offsetdruckmaschinen
833;2-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 2-Farben-Offsetdruckmaschinen
834;3-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 3-Farben-Offsetdruckmaschinen
835;4-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 4-Farben-Offsetdruckmaschinen
836;5-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 5-Farben-Offsetdruckmaschinen
837;6-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 6-Farben-Offsetdruckmaschinen
838;7-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 7-Farben-Offsetdruckmaschinen
839;8-Farben-Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / 8-Farben-Offsetdruckmaschinen
841;Sonstige Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / Sonstige Offsetdruckmaschinen
840;Zubehör & Ersatzteile für Offsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Offsetdruckmaschinen / Zubehör & Ersatzteile für Offsetdruckmaschinen
175;Repromaschinen;Druckereimaschinen & Druckmaschinen / Repromaschinen
1356;Akzidenzdruckmaschinen;Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Akzidenzdruckmaschinen
1357;Endlosdruckmaschinen;Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Endlosdruckmaschinen
1358;Etikettendruckmaschinen (Rollenoffset);Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Etikettendruckmaschinen (Rollenoffset)
1359;Flexodruckmaschinen (Rollenoffset);Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Flexodruckmaschinen (Rollenoffset)
1360;Formulardruckmaschinen (Rollenoffset);Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Formulardruckmaschinen (Rollenoffset)
1361;Tiefdruckmaschinen (Rollenoffset);Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Tiefdruckmaschinen (Rollenoffset)
1362;Zeitungsdruckmaschinen;Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Zeitungsdruckmaschinen
1363;Zubehör & Ersatzteile für Rollenoffsetdruckmaschinen;Druckereimaschinen & Druckmaschinen / Rollenoffsetdruckmaschinen / Zubehör & Ersatzteile für Rollenoffsetdruckmaschinen
184;Rotationsdruckmaschinen;Druckereimaschinen & Druckmaschinen / Rotationsdruckmaschinen
185;Siebdruckmaschinen;Druckereimaschinen & Druckmaschinen / Siebdruckmaschinen
672;Sonstige Druckereimaschinen & Druckmaschinen;Druckereimaschinen & Druckmaschinen / Sonstige Druckereimaschinen & Druckmaschinen
186;Stackers;Druckereimaschinen & Druckmaschinen / Stackers
187;Tampondruckmaschinen;Druckereimaschinen & Druckmaschinen / Tampondruckmaschinen
188;Tiefdruckmaschinen;Druckereimaschinen & Druckmaschinen / Tiefdruckmaschinen
1436;Broschürenfertigungssysteme;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Broschürenfertigungssysteme
1261;Falzmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Falzmaschinen
1262;Folieneinschlagmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Folieneinschlagmaschinen
1263;Heftmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Heftmaschinen
1352;Klebebinder;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Klebebinder
1264;Laminiermaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Laminiermaschinen
1583;Nummeriermaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Nummeriermaschinen
1353;Nut- & Perforiermaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Nut- & Perforiermaschinen
1265;Papierbohrmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Papierbohrmaschinen
1266;Papierzählmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Papierzählmaschinen
1267;Rütteltische;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Rütteltische
1355;Sammelhefter;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Sammelhefter
1268;Schneidemaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Schneidemaschinen
1269;Sonstige Weiterverarbeitungsmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Sonstige Weiterverarbeitungsmaschinen
1586;Stanzen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Stanzen
1270;Stapelheber;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Stapelheber
1437;Stapelwender;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Stapelwender
1271;Zusammentragmaschinen;Druckereimaschinen & Druckmaschinen / Weiterverarbeitungsmaschinen / Zusammentragmaschinen
